keys,zh,en
LS_CHEAT_USE_BTN,發動,Use
LS_SKIP_LAYER_BTN,跳轉樓層,Skip Layer
LS_SKILL_DETAIL_BTN,查看技能,Skill
LS_SAVE_LOAD,保存/讀取,Save/Load
LS_HELP,幫助,Help
LS_VOLUME_BTN,音量设置,Volumes
LS_EXIT,離開,Exit
LS_CHEAT_ABILITY,作弊能力,Cheating Ability
LS_HP_NOT_ENOUGH_CONFIRM,你的血量不足，是否確認正面決斗?,You don't have enough hp. Do you want to fight head-on?
LS_YES_BTN,是,Yes
LS_NO_BTN,否,No
LS_GAMEOVER,游戲結束,Gameover
LS_GAMEOVER_LAYER,到達層數︰,Reached Layers︰
LS_GAMEOVER_KILL_ENEMY,擊殺敵人︰,Killed Enemies︰
LS_GAMEOVER_SCORE,分數︰,Scores︰
LS_RETURN_TITLE_BTN,返回標題,Return Title
LS_GAMEOVER_ENEMY,殘余敵人︰,Residual Enemies︰
,,
,,
,,,
,,,
,,,
,,,
